mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
235111197,9778028,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,15.510073201782305,2.0888128580521963,260.5763844684914,262.25221196690006,0.0
219262000,7924073,0,GUNNAR SEIDENFADEN,,Other ship,Military,,,55,-1,-1,-1,-1,-1,12,17,38,6,6,0,9.253953455270088,4.987545370436268,180.69518183759163,179.56644366948973,0.0
357633000,9778313,0,MARSHAL VASILEVSKIY,,Other ship,Undefined,,,294,-1,-1,-1,-1,-1,47,230,64,11,36,0,11.933283268248724,11.799999999999999,95.72604385701412,97.2383298287774,-0.4052868729348152
211210410,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,4.813740022805018,0.0,121.34777651083239,108.21624857468642,0.0
264635944,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,58.7,0.0,161.0,185.0,-675.4
211784950,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,6.331726457399102,0.0,0.0,169.72724215246637,0.0
211342230,0,0,GOTLAND,,Other ship,Other,,,31,-1,-1,-1,-1,-1,6,0,31,0,6,0,7.640041601664066,2.9118564742589705,0.0,273.41926677067084,0.0
211309740,0,0,HOOGE,,Other ship,Law enforcement,,,21,-1,-1,-1,-1,-1,5,8,13,2,3,0,4.90482177192723,1.2944239017896761,0.0,81.16333382635706,0.0
265182000,8700876,0,ODEN,,Other ship,Other,,,108,-1,-1,-1,-1,-1,31,52,56,19,12,0,11.130156409881595,8.020391755591287,169.16985820786434,169.53807922818302,0.0
211806620,8747264,0,OFFCON KALKGRUND,,Other ship,Reserved,,,28,-1,-1,-1,-1,-1,6,16,12,2,4,0,11.817740774077409,1.9713771377137714,181.51917191719173,180.23430243024302,0.0
