length_from_data_set,width,iwrap_type_from_dataset,mean_speed,top_speed,std_speed,Speed_mode,Speed_median,ROT_mean,ROT_max,ROT_median,ROT_min,ROT_mode
252,45,Oil products tanker,11.30245028221765,13.3,1.1462459310112163,12,11.6,0.002951416363348633,19.7,-1.0,-35.0,-1.0
245,43,General cargo ship,10.958398468655288,14.0,1.857288955815568,12,11.5,0.036201946083904916,21.6,1.0,-23.6,1.0
142,22,Oil products tanker,11.220347221774533,14.7,2.7942248596345496,12,11.9,0.0212974722306388,57.9,1.0,-86.4,3.0
152,24,General cargo ship,13.062027658334248,51.2,4.382627690469045,16,14.6,1.689574480667044e-06,0.2,0.0,0.0,0.0
161,25,General cargo ship,11.711777778849076,20.1,5.129703041139499,16,12.1,0.08003355300265626,71.4,1.0,-54.7,-3.0
161,25,General cargo ship,12.208160671808884,20.4,5.173694901467584,17,12.1,0.0235030699692305,54.7,-1.0,-54.7,3.0
154,22,General cargo ship,17.048535417612033,21.3,2.4358803305488745,18,17.7,0.40947834381337817,78.7,1.0,-64.5,1.0
100,14,General cargo ship,3.3381705128205135,51.2,4.426901711681863,0,0.0,2.5641025641025644e-06,0.4,0.0,0.0,0.0
158,24,General cargo ship,13.23553913152062,20.3,4.268955825548279,16,14.8,0.04896591015515251,54.7,1.0,-45.7,2.0
148,21,Oil products tanker,10.056356602778266,12.8,3.285253820901365,12,11.6,-0.14155090557411634,42.9,-1.0,-37.5,1.0
275,48,Oil products tanker,11.647162485065715,14.0,1.3663311399029796,12,12.1,0.20618279569892475,30.2,1.0,-35.0,-1.0
200,36,General cargo ship,15.358516673585164,20.2,2.4771508188995943,17,15.8,2.2139200221392002e-06,0.4,0.0,0.0,0.0
144,23,Oil products tanker,8.53956132814474,13.0,3.125432849651252,10,9.9,-0.013923282963561929,78.7,-1.0,-51.6,-2.0
168,27,General cargo ship,13.78969968142214,20.0,4.491325323671052,14,14.9,-0.07127919154699436,67.9,-1.0,-61.1,3.0
178,28,General cargo ship,15.447883451577734,21.8,3.2786019797535317,14,15.1,0.03226175991909872,40.2,-1.0,-51.6,-1.0
225,32,General cargo ship,14.002632671212574,16.7,1.218938628408642,14,14.3,0.04513489475244591,27.9,1.0,-30.2,1.0
82,12,General cargo ship,9.366006527875793,12.4,1.9783885516399389,10,9.8,-0.011146788990825673,130.2,1.0,-90.4,2.0
