mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,top_speed,std_speed
269066000,9775385,0,LAUSANNE,,General cargo ship,Cargo,,,198,-1,-1,-1,-1,-1,32,169,29,12,20,0,11.71510019757268,13.4,0.7902358215791703
245955000,9420784,0,DAMGRACHT,,General cargo ship,Cargo,,,157,-1,-1,-1,-1,-1,23,144,13,3,20,0,11.830339288641206,14.6,0.8996478543927766
244630797,0,0,NJORD,,Oil products tanker,Tanker,,,110,-1,-1,-1,-1,-1,14,95,15,6,8,0,0.4574085182963407,9.1,1.6491396450987186
304050000,9116008,0,GRIFTBOR,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,12,76,13,8,4,0,9.42121688958825,10.9,0.6576747023167998
246029000,9234276,0,VICTORIABORG,,General cargo ship,Cargo,,,133,-1,-1,-1,-1,-1,17,122,11,8,9,0,10.052588178227426,13.7,2.008004163369616
246396000,9288071,0,SAMPOGRACHT,,General cargo ship,Cargo,,,185,-1,-1,-1,-1,-1,25,174,11,11,14,0,15.175847150493793,18.5,1.8941308827403458
352757000,9703318,0,MSC ZOE,,General cargo ship,Cargo,,,396,-1,-1,-1,-1,-1,59,145,251,36,23,0,15.233902728351126,20.8,2.2562357480775472
219397000,9274630,0,MAERSK EDGAR,,Oil products tanker,Tanker,,,186,-1,-1,-1,-1,-1,31,149,37,10,21,0,11.429542786876082,16.7,3.5141677274714747
229881000,9327396,0,BALTIC FREEDOM,,Oil products tanker,Tanker,,,182,-1,-1,-1,-1,-1,27,148,34,22,5,0,12.284708073173402,15.1,1.4984488491241899
354340000,9226918,0,MSC MELISSA,,General cargo ship,Cargo,,,304,-1,-1,-1,-1,-1,40,210,94,26,14,0,17.804095188959113,21.1,2.187930451763571
229882000,9314820,0,BALTIC MARINER I,,Oil products tanker,Tanker,,,182,-1,-1,-1,-1,-1,27,149,33,10,17,0,11.32201046144285,13.5,1.7501005557822755
220496000,9321512,0,EVELYN MAERSK,,General cargo ship,Cargo,,,398,-1,-1,-1,-1,-1,56,231,167,28,28,0,14.526743570748229,18.1,2.9177195936169538
538006753,9200419,0,FEDERAL ASAHI,,General cargo ship,Cargo,,,200,-1,-1,-1,-1,-1,24,177,23,7,17,0,11.305359547535685,13.1,1.796736096205677
671135000,7053264,0,FALKNES,,General cargo ship,Cargo,,,70,-1,-1,-1,-1,-1,10,50,20,5,5,0,8.9,8.9,0.0
259810000,9332626,0,MARINOR,,Oil products tanker,Tanker,,,227,-1,-1,-1,-1,-1,31,192,35,17,14,0,12.563601421000525,15.8,1.0978432525241095
244850854,9321093,0,FWN SOLIDE,,General cargo ship,Cargo,,,145,-1,-1,-1,-1,-1,18,137,8,12,6,0,12.137789017341042,14.7,2.8408563998029943
215627000,9595204,0,LADY MONA,,General cargo ship,Cargo,,,186,-1,-1,-1,-1,-1,28,154,32,6,22,0,13.00189557698703,14.0,0.46190153245652543
304955000,9367217,0,FALSTRIA SWAN,,Oil products tanker,Tanker,,,103,-1,-1,-1,-1,-1,16,85,18,8,8,0,8.280796712450483,13.4,3.518150794804725
305069000,9472036,0,SPANACO SIMPLICITY,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,15,78,12,8,7,0,9.381697539397292,11.6,2.202583096978284
258715000,9375989,0,NORDIC SOLA,,Oil products tanker,Tanker,,,89,-1,-1,-1,-1,-1,13,71,18,9,4,0,8.903539561543461,14.5,3.7832298850898627
211500000,0,0,GREIF,,Fishing ship,Fishing,,,16,-1,-1,-1,-1,-1,6,13,3,3,3,0,4.964615108559125,8.8,2.424584025993751
477153200,9786047,0,LA FRESNAIS,,General cargo ship,Cargo,,,180,-1,-1,-1,-1,-1,30,152,28,19,11,0,11.407533005436191,13.1,0.9199790049021022
311000853,9765861,0,COOL SPIRIT,,General cargo ship,Cargo,,,189,-1,-1,-1,-1,-1,26,146,43,18,8,0,16.62374212312167,19.8,1.3551302727373993
245578000,9197363,0,SCHIPPERSGRACHT,,General cargo ship,Cargo,,,168,-1,-1,-1,-1,-1,24,150,18,12,12,0,15.225474600870827,18.4,1.2732505816821102
305677000,9505596,0,ROGALAND,,General cargo ship,Cargo,,,107,-1,-1,-1,-1,-1,18,95,12,10,8,0,9.392119695436877,12.4,2.371530770866538
248872000,9396749,0,ELANDRA BLU,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,149,34,8,24,0,11.825000000000001,14.3,2.2669278779958946
377134000,9052678,0,SELVAAGSUND,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,11,67,15,5,6,0,8.856352565530557,11.6,2.26029903621335
269059000,9220471,0,GLARUS,,General cargo ship,Cargo,,,189,-1,-1,-1,-1,-1,31,162,27,22,9,0,12.10700058582308,13.2,1.174866530374995
477477300,9702716,0,XING SHENG HAI,,General cargo ship,Cargo,,,228,-1,-1,-1,-1,-1,32,203,25,12,20,0,11.980766995932596,12.8,0.7506863613491241
374901000,9168154,0,EAGLE TRADER,,General cargo ship,Cargo,,,181,-1,-1,-1,-1,-1,26,155,26,16,10,0,11.232692894175054,12.7,0.4989741869158233
304519000,9370276,0,HANNA,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,15,79,11,8,7,0,9.265767228349103,11.9,1.905380494945414
305159000,9357224,0,BBC GEORGIA,,General cargo ship,Cargo,,,138,-1,-1,-1,-1,-1,21,127,11,8,13,0,10.058498119616644,16.5,3.9107743692301016
257037270,9808261,0,EK-STREAM,,Oil products tanker,Tanker,,,154,-1,-1,-1,-1,-1,24,126,28,12,12,0,11.442683158896289,15.3,2.701366448200899
244336000,9198654,0,DANIEL K.,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,15,78,12,8,7,0,9.574132066619752,11.9,1.9080431551385855
261003060,8107397,0,KOL-8,,Fishing ship,Fishing,,,26,-1,-1,-1,-1,-1,7,15,11,4,3,0,3.0767034990791897,4.6,0.4040584418726759
538004184,9579743,0,BLACK PEARL,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,197,32,24,8,0,10.919213313161876,13.8,1.032686810730817
248926000,955323200,0,PANAGIA KORONA,,General cargo ship,Cargo,,,190,-1,-1,-1,-1,-1,32,160,30,15,17,0,11.35417106652587,13.5,1.880453013948513
211314800,8429070,0,ANTARES,,Fishing ship,Fishing,,,25,-1,-1,-1,-1,-1,6,13,12,1,5,0,4.425884331271396,9.9,2.3353500146411044
244789000,9376440,0,PROSPECT,,General cargo ship,Cargo,,,119,-1,-1,-1,-1,-1,14,104,15,3,11,0,9.48376259798432,11.5,1.8035605697387285
220079000,0,0,PERNILLE PATRICK,,Fishing ship,Fishing,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.9783374176400585,9.6,2.3378035708368565
